rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
1st,Jackson Lumen Christi,75.9,57.5,94.2,27.34,26.8,8,5.0,7.5,7.5,2.5,5.0,7.5,10.0,12.5,Singles F1: 6th; Singles F2: 3rd; Singles F3: 3rd; Singles F4: 14th; Doubles F1: 5th; Doubles F2: 3rd; Doubles F3: 2nd; Doubles F4: 1st
2nd,Grosse Pointe Woods University Liggett,72.6,53.5,91.7,30.77,32.05,8,5.0,5.0,12.5,10.0,7.5,7.5,5.0,1.0,Singles F1: 7th; Singles F2: 5th; Singles F3: 1st; Singles F4: 2nd; Doubles F1: 4th; Doubles F2: 4th; Doubles F3: 5th; Doubles F4: 22nd
3rd,Ludington,70.2,50.0,90.5,25.51,24.66,8,2.5,12.5,10.0,12.5,2.5,2.5,5.0,2.5,Singles F1: 11th; Singles F2: 1st; Singles F3: 2nd; Singles F4: 1st; Doubles F1: 9th; Doubles F2: 9th; Doubles F3: 8th; Doubles F4: 15th
4th,Maple City Glen Lake,66.9,42.5,91.3,31.17,32.33,8,7.5,2.5,7.5,7.5,2.5,5.0,5.0,5.0,Singles F1: 3rd; Singles F2: 12th; Singles F3: 4th; Singles F4: 3rd; Doubles F1: 10th; Doubles F2: 7th; Doubles F3: 7th; Doubles F4: 6th
5th,Grandville Calvin Christian,63.2,38.5,87.9,24.69,25.34,8,2.5,2.5,5.0,7.5,12.5,1.0,2.5,5.0,Singles F1: 12th; Singles F2: 9th; Singles F3: 6th; Singles F4: 4th; Doubles F1: 1st; Doubles F2: 19th; Doubles F3: 11th; Doubles F4: 7th
6th,Paw Paw,62.8,37.5,88.1,24.82,25.61,8,2.5,2.5,2.5,2.5,5.0,10.0,7.5,5.0,Singles F1: 10th; Singles F2: 14th; Singles F3: 9th; Singles F4: 13th; Doubles F1: 8th; Doubles F2: 2nd; Doubles F3: 4th; Doubles F4: 8th
7th,Grand Rapids NorthPointe Christian,62.6,42.5,82.7,29.58,29.0,7,2.5,0.0,2.5,5.0,7.5,5.0,12.5,7.5,Singles F1: 13th; Singles F2: 46th; Singles F3: 16th; Singles F4: 6th; Doubles F1: 3rd; Doubles F2: 6th; Doubles F3: 1st; Doubles F4: 4th
8th,Allegan,61.0,37.0,84.9,26.87,26.07,8,2.5,10.0,2.5,1.0,5.0,12.5,2.5,1.0,Singles F1: 9th; Singles F2: 2nd; Singles F3: 12th; Singles F4: 23rd; Doubles F1: 7th; Doubles F2: 1st; Doubles F3: 13th; Doubles F4: 17th
9th,Berrien Springs,58.5,40.0,77.0,28.35,27.21,6,10.0,7.5,0.0,0.0,2.5,5.0,7.5,7.5,Singles F1: 2nd; Singles F2: 4th; Singles F3: 59th; Singles F4: 33rd; Doubles F1: 12th; Doubles F2: 8th; Doubles F3: 3rd; Doubles F4: 3rd
10th,Lansing Catholic,56.8,29.5,84.1,24.75,24.47,8,7.5,2.5,5.0,5.0,1.0,5.0,1.0,2.5,Singles F1: 4th; Singles F2: 11th; Singles F3: 5th; Singles F4: 8th; Doubles F1: 27th; Doubles F2: 5th; Doubles F3: 17th; Doubles F4: 11th
11th,Goodrich,49.1,24.0,74.2,21.79,26.55,7,12.5,5.0,1.0,1.0,0.0,1.0,2.5,1.0,Singles F1: 1st; Singles F2: 6th; Singles F3: 19th; Singles F4: 26th; Doubles F1: 33rd; Doubles F2: 18th; Doubles F3: 16th; Doubles F4: 19th
12th,Kalamazoo Christian,49.1,19.5,78.8,24.34,23.98,8,1.0,1.0,5.0,2.5,2.5,2.5,2.5,2.5,Singles F1: 28th; Singles F2: 21st; Singles F3: 7th; Singles F4: 10th; Doubles F1: 11th; Doubles F2: 13th; Doubles F3: 12th; Doubles F4: 13th
