rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
90th,Edwardsburg,33.4,4.2,62.6,18.42,18.42,7,0.5,0.5,0.5,0.5,0.0,0.5,1.25,0.5,Singles F1: 97th; Singles F2: 69th; Singles F3: 118th; Singles F4: 111th; Doubles F1: 137th; Doubles F2: 79th; Doubles F3: 58th; Doubles F4: 110th
91st,Middleville Thornapple Kellogg,33.4,3.8,63.0,26.32,26.32,6,1.25,0.5,0.5,0.5,0.5,0.0,0.0,0.5,Singles F1: 58th; Singles F2: 82nd; Singles F3: 96th; Singles F4: 81st; Doubles F1: 70th; Doubles F2: 156th; Doubles F3: 135th; Doubles F4: 94th
92nd,Macomb L'Anse Creuse North,33.1,3.8,62.5,26.25,26.25,6,0.0,0.5,0.5,1.25,0.5,0.5,0.0,0.5,Singles F1: 131st; Singles F2: 108th; Singles F3: 89th; Singles F4: 56th; Doubles F1: 96th; Doubles F2: 72nd; Doubles F3: 154th; Doubles F4: 77th
93rd,Grosse Ile,33.0,6.2,59.8,26.6,26.6,6,1.25,0.5,0.0,0.0,3.0,0.5,0.5,0.5,Singles F1: 46th; Singles F2: 117th; Singles F3: 201st; Singles F4: 157th; Doubles F1: 28th; Doubles F2: 90th; Doubles F3: 120th; Doubles F4: 78th
94th,Goodrich,32.9,5.8,60.0,21.79,21.79,5,3.0,1.25,0.5,0.0,0.0,0.0,0.5,0.5,Singles F1: 23rd; Singles F2: 54th; Singles F3: 117th; Singles F4: 131st; Doubles F1: 159th; Doubles F2: 130th; Doubles F3: 97th; Doubles F4: 122nd
95th,Parma Western,32.7,3.8,61.7,25.92,25.92,6,1.25,0.5,0.5,0.0,0.5,0.5,0.0,0.5,Singles F1: 33rd; Singles F2: 107th; Singles F3: 86th; Singles F4: 135th; Doubles F1: 87th; Doubles F2: 70th; Doubles F3: 168th; Doubles F4: 112th
96th,Port Huron Northern,32.5,4.5,60.5,23.11,23.11,6,0.0,0.5,0.5,1.25,0.5,0.5,0.0,1.25,Singles F1: 132nd; Singles F2: 109th; Singles F3: 92nd; Singles F4: 62nd; Doubles F1: 91st; Doubles F2: 122nd; Doubles F3: 169th; Doubles F4: 46th
97th,Clinton Township Chippewa Valley,32.0,3.8,60.3,23.6,23.6,6,0.5,0.5,0.5,0.0,0.0,0.5,1.25,0.5,Singles F1: 118th; Singles F2: 77th; Singles F3: 90th; Singles F4: 132nd; Doubles F1: 173rd; Doubles F2: 104th; Doubles F3: 52nd; Doubles F4: 81st
98th,Trenton,31.5,4.2,58.8,22.85,22.85,7,0.0,0.5,1.25,0.5,0.5,0.5,0.5,0.5,Singles F1: 206th; Singles F2: 71st; Singles F3: 56th; Singles F4: 119th; Doubles F1: 115th; Doubles F2: 73rd; Doubles F3: 105th; Doubles F4: 114th
99th,Traverse City St Francis,31.3,3.5,59.0,30.73,30.73,7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,Singles F1: 93rd; Singles F2: 93rd; Singles F3: 103rd; Singles F4: 89th; Doubles F1: 84th; Doubles F2: 97th; Doubles F3: 93rd; Doubles F4: 202nd
100th,Portage Northern,31.2,3.0,59.4,24.22,24.22,6,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,Singles F1: 67th; Singles F2: 89th; Singles F3: 174th; Singles F4: 80th; Doubles F1: 66th; Doubles F2: 118th; Doubles F3: 157th; Doubles F4: 95th
101st,Gibraltar Carlson,30.9,4.2,57.5,24.19,24.19,7,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.25,Singles F1: 179th; Singles F2: 119th; Singles F3: 122nd; Singles F4: 120th; Doubles F1: 113th; Doubles F2: 93rd; Doubles F3: 98th; Doubles F4: 42nd
102nd,Fowlerville,30.9,4.0,57.9,25.05,25.05,5,0.0,0.0,0.5,0.0,1.25,1.25,0.5,0.5,Singles F1: 130th; Singles F2: 167th; Singles F3: 116th; Singles F4: 138th; Doubles F1: 55th; Doubles F2: 56th; Doubles F3: 87th; Doubles F4: 128th
103rd,Pontiac Notre Dame Prep,30.7,3.5,57.8,26.41,26.41,4,1.25,1.25,0.0,0.0,0.5,0.5,0.0,0.0,Singles F1: 40th; Singles F2: 61st; Singles F3: 147th; Singles F4: 137th; Doubles F1: 67th; Doubles F2: 68th; Doubles F3: 164th; Doubles F4: 195th
104th,Salem,30.4,12.8,48.0,30.53,30.53,4,11.25,0.0,0.5,0.0,0.5,0.5,0.0,0.0,Singles F1: 2nd; Singles F2: 212th; Singles F3: 87th; Singles F4: 207th; Doubles F1: 111th; Doubles F2: 66th; Doubles F3: 197th; Doubles F4: 200th
105th,Detroit U-D Jesuit,30.0,4.0,56.1,34.69,34.69,5,1.25,0.5,1.25,0.0,0.5,0.5,0.0,0.0,Singles F1: 50th; Singles F2: 76th; Singles F3: 64th; Singles F4: 139th; Doubles F1: 119th; Doubles F2: 92nd; Doubles F3: 209th; Doubles F4: 166th
106th,Jackson Northwests,30.0,3.8,56.3,22.74,22.74,6,0.0,0.5,0.5,0.5,0.5,1.25,0.5,0.0,Singles F1: 183rd; Singles F2: 106th; Singles F3: 84th; Singles F4: 95th; Doubles F1: 125th; Doubles F2: 52nd; Doubles F3: 84th; Doubles F4: 180th
107th,Grand Rapids West Catholic,29.8,3.8,55.9,29.54,29.54,6,0.5,0.5,0.5,0.5,1.25,0.5,0.0,0.0,Singles F1: 90th; Singles F2: 65th; Singles F3: 85th; Singles F4: 117th; Doubles F1: 63rd; Doubles F2: 106th; Doubles F3: 196th; Doubles F4: 197th
108th,Bay City John Glenn,29.8,3.0,56.5,22.9,22.9,6,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,Singles F1: 76th; Singles F2: 102nd; Singles F3: 98th; Singles F4: 101st; Doubles F1: 114th; Doubles F2: 151st; Doubles F3: 163rd; Doubles F4: 100th
109th,Allen Park,29.7,4.0,55.4,21.67,21.67,5,1.25,0.0,1.25,0.0,0.5,0.5,0.5,0.0,Singles F1: 34th; Singles F2: 157th; Singles F3: 52nd; Singles F4: 190th; Doubles F1: 116th; Doubles F2: 124th; Doubles F3: 117th; Doubles F4: 138th
110th,Temperance Bedford,29.3,4.0,54.7,27.11,27.11,5,0.5,0.0,0.0,0.0,0.5,1.25,1.25,0.5,Singles F1: 117th; Singles F2: 137th; Singles F3: 159th; Singles F4: 222nd; Doubles F1: 95th; Doubles F2: 62nd; Doubles F3: 37th; Doubles F4: 115th
111th,New Baltimore Anchor Bay,28.9,4.0,53.8,26.73,26.73,5,1.25,0.0,0.0,0.5,0.0,0.5,1.25,0.5,Singles F1: 47th; Singles F2: 247th; Singles F3: 153rd; Singles F4: 66th; Doubles F1: 218th; Doubles F2: 107th; Doubles F3: 51st; Doubles F4: 73rd
112th,Battle Creek Harper Creek,28.9,3.5,54.3,20.77,20.77,4,0.0,0.5,0.5,1.25,0.0,0.0,1.25,0.0,Singles F1: 148th; Singles F2: 101st; Singles F3: 111th; Singles F4: 43rd; Doubles F1: 176th; Doubles F2: 174th; Doubles F3: 43rd; Doubles F4: 156th
113th,Petoskey,28.9,3.5,54.3,28.33,28.33,4,0.5,1.25,1.25,0.5,0.0,0.0,0.0,0.0,Singles F1: 73rd; Singles F2: 35th; Singles F3: 61st; Singles F4: 75th; Doubles F1: 229th; Doubles F2: 185th; Doubles F3: 151st; Doubles F4: 143rd
114th,Bay City Western,28.8,2.5,55.2,25.6,25.6,5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,Singles F1: 160th; Singles F2: 146th; Singles F3: 126th; Singles F4: 78th; Doubles F1: 129th; Doubles F2: 126th; Doubles F3: 81st; Doubles F4: 87th
115th,Kalamazoo Hackett Catholic Prep,28.5,3.2,53.8,23.07,23.07,5,0.5,1.25,0.5,0.5,0.5,0.0,0.0,0.0,Singles F1: 121st; Singles F2: 48th; Singles F3: 119th; Singles F4: 114th; Doubles F1: 82nd; Doubles F2: 189th; Doubles F3: 134th; Doubles F4: 155th
116th,Kalamazoo Loy Norrix,27.8,3.0,52.7,24.31,24.31,6,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,Singles F1: 103rd; Singles F2: 168th; Singles F3: 113th; Singles F4: 126th; Doubles F1: 107th; Doubles F2: 86th; Doubles F3: 158th; Doubles F4: 124th
117th,Marshall,27.4,3.0,51.8,24.12,24.12,6,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,Singles F1: 238th; Singles F2: 111th; Singles F3: 97th; Singles F4: 110th; Doubles F1: 89th; Doubles F2: 159th; Doubles F3: 88th; Doubles F4: 111th
118th,Vicksburg,27.3,2.5,52.1,28.93,28.93,5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,Singles F1: 155th; Singles F2: 100th; Singles F3: 129th; Singles F4: 109th; Doubles F1: 207th; Doubles F2: 125th; Doubles F3: 66th; Doubles F4: 106th
119th,Essexville Garber,27.3,2.5,52.0,23.07,23.07,5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,Singles F1: 147th; Singles F2: 148th; Singles F3: 148th; Singles F4: 100th; Doubles F1: 102nd; Doubles F2: 121st; Doubles F3: 109th; Doubles F4: 123rd
120th,Kalamazoo Central,27.2,2.0,52.4,21.08,21.08,4,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,Singles F1: 190th; Singles F2: 179th; Singles F3: 67th; Singles F4: 129th; Doubles F1: 106th; Doubles F2: 83rd; Doubles F3: 69th; Doubles F4: 167th
121st,Sandusky,26.6,4.0,49.2,21.52,21.52,3,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,Singles F1: 138th; Singles F2: 154th; Singles F3: 145th; Singles F4: 179th; Doubles F1: 21st; Doubles F2: 195th; Doubles F3: 119th; Doubles F4: 105th
122nd,Three Rivers,26.6,2.2,50.9,22.31,22.31,3,0.0,0.5,0.0,0.5,0.0,0.0,1.25,0.0,Singles F1: 161st; Singles F2: 70th; Singles F3: 130th; Singles F4: 83rd; Doubles F1: 158th; Doubles F2: 221st; Doubles F3: 63rd; Doubles F4: 136th
123rd,Spring Lake,26.6,2.2,50.9,27.52,27.52,3,0.5,0.5,1.25,0.0,0.0,0.0,0.0,0.0,Singles F1: 84th; Singles F2: 83rd; Singles F3: 42nd; Singles F4: 164th; Doubles F1: 191st; Doubles F2: 175th; Doubles F3: 133rd; Doubles F4: 149th
124th,Lake Fenton,26.3,2.0,50.5,23.55,23.55,4,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Singles F1: 172nd; Singles F2: 191st; Singles F3: 132nd; Singles F4: 130th; Doubles F1: 75th; Doubles F2: 109th; Doubles F3: 101st; Doubles F4: 119th
125th,Utica Ford,26.2,3.2,49.1,28.56,28.56,5,1.25,0.0,0.5,0.5,0.5,0.5,0.0,0.0,Singles F1: 51st; Singles F2: 220th; Singles F3: 114th; Singles F4: 103rd; Doubles F1: 65th; Doubles F2: 101st; Doubles F3: 208th; Doubles F4: 196th
126th,Dearborn Divine Child,26.0,2.8,49.2,25.55,25.55,4,0.0,0.0,1.25,0.5,0.0,0.5,0.0,0.5,Singles F1: 174th; Singles F2: 163rd; Singles F3: 54th; Singles F4: 106th; Doubles F1: 212th; Doubles F2: 91st; Doubles F3: 143rd; Doubles F4: 113th
127th,West Bloomfield FJA,25.9,2.8,49.0,22.58,22.58,4,0.0,1.25,0.5,0.5,0.0,0.0,0.0,0.5,Singles F1: 141st; Singles F2: 50th; Singles F3: 82nd; Singles F4: 93rd; Doubles F1: 190th; Doubles F3: 142nd; Doubles F4: 103rd
128th,Royal Oak,25.8,3.5,48.1,25.14,25.14,4,0.0,1.25,0.0,0.0,0.5,0.5,0.0,1.25,Singles F1: 229th; Singles F2: 64th; Singles F3: 180th; Singles F4: 169th; Doubles F1: 80th; Doubles F2: 117th; Doubles F3: 178th; Doubles F4: 62nd
129th,Milford,25.8,2.0,49.6,24.42,24.42,4,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,Singles F1: 142nd; Singles F2: 120th; Singles F3: 123rd; Singles F4: 152nd; Doubles F1: 154th; Doubles F2: 111th; Doubles F3: 118th; Doubles F4: 129th
130th,Holly,25.7,2.0,49.3,21.83,21.83,4,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Singles F1: 185th; Singles F2: 130th; Singles F3: 163rd; Singles F4: 189th; Doubles F1: 78th; Doubles F2: 115th; Doubles F3: 104th; Doubles F4: 90th
131st,Mount Pleasant,25.4,3.2,47.6,26.69,26.69,5,0.5,0.5,0.0,1.25,0.5,0.0,0.0,0.5,Singles F1: 86th; Singles F2: 104th; Singles F3: 161st; Singles F4: 45th; Doubles F1: 127th; Doubles F3: 187th; Doubles F4: 121st
132nd,Fraser,25.4,1.5,49.3,22.98,22.98,3,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,Singles F1: 192nd; Singles F2: 136th; Singles F3: 144th; Singles F4: 143rd; Doubles F1: 72nd; Doubles F2: 102nd; Doubles F3: 121st; Doubles F4: 144th
133rd,Owosso,25.2,2.2,48.2,22.04,22.04,3,0.0,0.0,0.0,0.0,1.25,0.0,0.5,0.5,Singles F1: 173rd; Singles F2: 192nd; Singles F3: 133rd; Singles F4: 159th; Doubles F1: 58th; Doubles F2: 154th; Doubles F3: 102nd; Doubles F4: 107th
134th,Portland,25.1,2.0,48.2,24.68,24.68,4,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,Singles F1: 124th; Singles F2: 198th; Singles F3: 176th; Singles F4: 161st; Doubles F1: 88th; Doubles F2: 85th; Doubles F3: 152nd; Doubles F4: 93rd
135th,Warren De La Salle Collegiate,25.1,1.5,48.6,26.83,26.83,3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,Singles F1: 168th; Singles F2: 162nd; Singles F3: 162nd; Singles F4: 140th; Doubles F1: 135th; Doubles F2: 100th; Doubles F3: 103rd; Doubles F4: 98th
136th,East Lansing,25.0,2.0,48.0,29.01,29.01,4,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,Singles F1: 85th; Singles F2: 126th; Singles F3: 151st; Singles F4: 79th; Doubles F1: 76th; Doubles F2: 203rd; Doubles F3: 184th; Doubles F4: 178th
137th,Greenville,25.0,2.0,48.0,25.12,25.12,4,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,Singles F1: 106th; Singles F2: 186th; Singles F3: 179th; Singles F4: 198th; Doubles F1: 83rd; Doubles F2: 89th; Doubles F3: 100th; Doubles F4: 141st
138th,Dearborn,24.3,1.5,47.1,24.43,24.43,3,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Singles F1: 82nd; Singles F2: 133rd; Singles F3: 158th; Singles F4: 149th; Doubles F1: 215th; Doubles F2: 140th; Doubles F3: 114th; Doubles F4: 108th
139th,Clio,24.2,2.2,46.1,19.5,19.5,3,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.25,Singles F1: 186th; Singles F2: 227th; Singles F3: 141st; Singles F4: 92nd; Doubles F1: 123rd; Doubles F2: 172nd; Doubles F3: 132nd; Doubles F4: 47th
140th,Coldwater,24.1,1.5,46.7,22.29,22.29,3,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,Singles F1: 207th; Singles F2: 145th; Singles F3: 110th; Singles F4: 115th; Doubles F1: 175th; Doubles F2: 81st; Doubles F3: 141st; Doubles F4: 135th
141st,Livonia Stevenson,23.8,2.5,45.1,21.01,21.01,5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,Singles F1: 116th; Singles F2: 249th; Singles F3: 197th; Singles F4: 122nd; Doubles F1: 104th; Doubles F2: 141st; Doubles F3: 111th; Doubles F4: 102nd
142nd,Marysville,23.6,1.0,46.1,19.93,19.93,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,Singles F1: 153rd; Singles F2: 147th; Singles F3: 155th; Singles F4: 165th; Doubles F1: 97th; Doubles F2: 137th; Doubles F3: 149th; Doubles F4: 117th
143rd,Caledonia,23.3,1.8,44.9,26.09,26.09,2,0.0,0.0,0.0,0.0,0.5,0.0,1.25,0.0,Singles F1: 156th; Singles F2: 188th; Singles F3: 206th; Singles F4: 192nd; Doubles F1: 68th; Doubles F2: 158th; Doubles F3: 38th; Doubles F4: 140th
144th,Saginaw Nouvel Catholic Central,23.1,1.0,45.2,25.23,25.23,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Singles F1: 198th; Singles F2: 182nd; Singles F3: 146th; Singles F4: 133rd; Doubles F1: 86th; Doubles F2: 112th; Doubles F3: 138th; Doubles F4: 145th
145th,Lowell,22.8,1.5,44.0,21.98,21.98,3,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,Singles F1: 170th; Singles F2: 75th; Singles F3: 198th; Singles F4: 70th; Doubles F1: 105th; Doubles F2: 222nd; Doubles F3: 153rd; Doubles F4: 170th
146th,North Muskegon,22.7,2.0,43.3,22.21,22.21,4,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,Singles F1: 123rd; Singles F2: 129th; Singles F3: 215th; Doubles F1: 164th; Doubles F2: 120th; Doubles F3: 72nd; Doubles F4: 96th
147th,Imlay City,22.6,1.0,44.2,21.18,21.18,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,Singles F1: 136th; Singles F2: 132nd; Singles F3: 127th; Singles F4: 144th; Doubles F1: 156th; Doubles F2: 196th; Doubles F3: 112th; Doubles F4: 157th
148th,South Lyon,22.6,0.5,44.6,26.31,26.31,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 139th; Singles F2: 114th; Singles F3: 157th; Singles F4: 177th; Doubles F1: 153rd; Doubles F2: 135th; Doubles F3: 145th; Doubles F4: 131st
149th,Grosse Pointe North,22.0,1.8,42.2,27.55,27.55,2,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 54th; Singles F2: 86th; Singles F3: 143rd; Singles F4: 142nd; Doubles F1: 206th; Doubles F2: 217th; Doubles F3: 155th; Doubles F4: 199th
150th,Oxford,21.9,1.5,42.3,21.37,21.37,3,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,Singles F1: 98th; Singles F2: 149th; Singles F3: 136th; Singles F4: 154th; Doubles F1: 121st; Doubles F2: 177th; Doubles F4: 104th
151st,Utica,21.8,2.2,41.3,26.04,26.04,3,0.0,0.0,0.0,1.25,0.0,0.5,0.0,0.5,Singles F1: 187th; Singles F2: 246th; Singles F3: 142nd; Singles F4: 52nd; Doubles F1: 199th; Doubles F2: 103rd; Doubles F3: 210th; Doubles F4: 80th
152nd,Walled Lake Northern,21.7,1.2,42.2,27.38,27.38,1,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 140th; Singles F2: 46th; Singles F3: 173rd; Singles F4: 151st; Doubles F1: 223rd; Doubles F2: 131st; Doubles F3: 161st; Doubles F4: 176th
153rd,Cadillac,21.6,1.5,41.8,26.78,26.78,3,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Singles F1: 88th; Singles F2: 66th; Singles F3: 105th; Singles F4: 168th; Doubles F1: 193rd; Doubles F2: 209th; Doubles F3: 195th; Doubles F4: 186th
154th,Holland,21.3,4.0,38.5,29.25,29.25,3,3.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,Singles F1: 25th; Singles F2: 78th; Singles F3: 234th; Singles F4: 225th; Doubles F1: 81st; Doubles F2: 224th; Doubles F3: 203rd; Doubles F4: 207th
155th,Williamston,21.3,1.0,41.7,27.15,27.15,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,Singles F1: 133rd; Singles F2: 142nd; Singles F3: 76th; Singles F4: 98th; Doubles F1: 225th; Doubles F2: 206th; Doubles F3: 180th; Doubles F4: 152nd
156th,Wyandotte Roosevelt,21.0,1.2,40.8,24.64,24.64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,Singles F1: 194th; Singles F2: 139th; Singles F3: 167th; Singles F4: 172nd; Doubles F1: 132nd; Doubles F2: 191st; Doubles F3: 179th; Doubles F4: 55th
157th,Flint Powers Catholic,20.5,1.0,40.0,27.34,27.34,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,Singles F1: 164th; Singles F2: 155th; Singles F3: 120th; Singles F4: 170th; Doubles F1: 168th; Doubles F2: 182nd; Doubles F3: 96th; Doubles F4: 191st
158th,Grand Rapids Northview,20.1,1.5,38.6,25.44,25.44,3,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,Singles F1: 226th; Singles F2: 221st; Singles F3: 109th; Singles F4: 230th; Doubles F1: 163rd; Doubles F2: 157th; Doubles F3: 99th; Doubles F4: 70th
159th,Tecumseh,20.1,1.0,39.2,21.41,21.41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Singles F1: 195th; Singles F2: 134th; Singles F3: 193rd; Singles F4: 216th; Doubles F1: 149th; Doubles F2: 145th; Doubles F3: 113th; Doubles F4: 118th
160th,Milan,20.0,1.0,39.1,23.32,23.32,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Singles F1: 129th; Singles F2: 140th; Singles F3: 160th; Singles F4: 182nd; Doubles F1: 128th; Doubles F2: 74th; Doubles F3: 194th
161st,Flint Kearsley,20.0,1.0,39.0,20.15,20.15,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,Singles F1: 222nd; Singles F2: 184th; Singles F3: 125th; Singles F4: 156th; Doubles F1: 179th; Doubles F2: 153rd; Doubles F3: 115th; Doubles F4: 134th
162nd,Fenton,20.0,0.5,39.5,23.08,23.08,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 109th; Singles F2: 180th; Singles F3: 220th; Singles F4: 147th; Doubles F1: 166th; Doubles F2: 150th; Doubles F3: 131st; Doubles F4: 154th
163rd,Wayland,19.7,1.0,38.4,26.98,26.98,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Singles F1: 158th; Singles F2: 81st; Singles F3: 104th; Singles F4: 184th; Doubles F1: 203rd; Doubles F2: 190th; Doubles F3: 202nd; Doubles F4: 158th
164th,Dearborn Edsel Ford,19.7,0.5,38.8,25.35,25.35,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 102nd; Singles F2: 150th; Singles F3: 135th; Singles F4: 148th; Doubles F1: 171st; Doubles F2: 200th; Doubles F3: 172nd; Doubles F4: 193rd
165th,Almont,19.6,1.5,37.7,21.25,21.25,3,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,Singles F1: 165th; Singles F2: 173rd; Singles F3: 121st; Singles F4: 104th; Doubles F1: 202nd; Doubles F2: 142nd; Doubles F3: 128th
166th,Grand Rapids Kenowa Hills,19.4,0.5,38.2,20.79,20.79,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Singles F1: 171st; Singles F2: 164th; Singles F3: 101st; Singles F4: 206th; Doubles F1: 144th; Doubles F2: 149th; Doubles F3: 176th; Doubles F4: 172nd
167th,Warren Mott,19.0,0.5,37.6,21.77,21.77,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Singles F1: 166th; Singles F2: 174th; Singles F3: 171st; Singles F4: 181st; Doubles F1: 148th; Doubles F2: 161st; Doubles F3: 186th; Doubles F4: 109th
168th,North Farmington,19.0,0.5,37.5,24.71,24.71,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 137th; Singles F2: 113th; Singles F3: 191st; Singles F4: 171st; Doubles F1: 146th; Doubles F2: 173rd; Doubles F3: 192nd; Doubles F4: 175th
169th,Walled Lake Central,18.7,2.5,34.9,23.17,23.17,2,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,Singles F1: 60th; Singles F2: 171st; Singles F3: 156th; Singles F4: 54th; Doubles F1: 185th; Doubles F2: 207th
170th,Howell,18.6,1.0,36.1,20.93,20.93,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Singles F1: 167th; Singles F2: 216th; Singles F3: 165th; Singles F4: 150th; Doubles F1: 201st; Doubles F2: 187th; Doubles F3: 124th; Doubles F4: 116th
171st,Whitehall,18.4,0.5,36.2,25.3,25.3,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Singles F1: 144th; Singles F2: 196th; Singles F3: 178th; Singles F4: 176th; Doubles F1: 187th; Doubles F2: 119th; Doubles F3: 136th; Doubles F4: 188th
172nd,Ann Arbor Father Gabriel Richard,18.4,0.0,36.8,25.53,25.53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 189th; Singles F2: 197th; Singles F3: 152nd; Singles F4: 141st; Doubles F1: 145th; Doubles F2: 169th; Doubles F3: 159th; Doubles F4: 160th
173rd,Lapeer,18.1,1.0,35.2,22.51,22.51,2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,Singles F1: 209th; Singles F2: 166th; Singles F3: 245th; Singles F4: 224th; Doubles F1: 126th; Doubles F2: 129th; Doubles F3: 95th; Doubles F4: 151st
174th,Midland Bullock Creek,18.0,1.5,34.5,21.02,21.02,3,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,Singles F3: 93rd; Singles F4: 134th; Doubles F2: 144th; Doubles F3: 110th; Doubles F4: 101st
175th,Eaton Rapids,18.0,1.0,35.0,21.76,21.76,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Singles F1: 191st; Singles F2: 127th; Singles F3: 94th; Singles F4: 174th; Doubles F1: 152nd; Doubles F2: 229th; Doubles F3: 213th; Doubles F4: 169th
176th,Hamtramck,17.8,0.5,35.2,23.36,23.36,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Singles F1: 203rd; Singles F2: 158th; Singles F3: 190th; Singles F4: 121st; Doubles F1: 133rd; Doubles F2: 143rd; Doubles F3: 139th
177th,Bay City Central,17.6,0.5,34.7,27.74,27.74,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Singles F1: 163rd; Singles F2: 143rd; Singles F3: 124th; Singles F4: 155th; Doubles F1: 169th; Doubles F2: 211th; Doubles F3: 198th; Doubles F4: 192nd
178th,Flushing,16.8,1.0,32.6,27.39,27.39,2,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,Singles F1: 159th; Singles F2: 123rd; Singles F3: 194th; Singles F4: 178th; Doubles F1: 100th; Doubles F2: 223rd; Doubles F3: 215th; Doubles F4: 208th
179th,Alpena,16.8,1.0,32.6,22.08,22.08,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Singles F1: 205th; Singles F2: 94th; Singles F3: 106th; Singles F4: 212th; Doubles F1: 216th; Doubles F2: 163rd; Doubles F3: 144th
180th,Niles,16.8,0.5,33.1,22.18,22.18,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Singles F1: 215th; Singles F2: 201st; Singles F3: 138th; Singles F4: 128th; Doubles F1: 208th; Doubles F2: 167th; Doubles F3: 189th; Doubles F4: 142nd
181st,Comstock Park,16.7,1.0,32.4,18.35,18.35,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,Singles F1: 184th; Singles F2: 181st; Singles F3: 128th; Singles F4: 118th; Doubles F1: 177th; Doubles F2: 180th; Doubles F3: 177th
182nd,Ovid-Elsie,16.7,0.5,32.9,19.74,19.74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Singles F1: 149th; Singles F2: 194th; Singles F3: 186th; Singles F4: 210th; Doubles F1: 160th; Doubles F2: 188th; Doubles F3: 125th; Doubles F4: 181st
