rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
18th,Okemos,59.6,29.8,89.5,30.97,30.97,8,3.0,5.0,5.0,10.0,1.25,3.0,1.25,1.25,Singles F1: 26th; Singles F2: 16th; Singles F3: 12th; Singles F4: 3rd; Doubles F1: 37th; Doubles F2: 30th; Doubles F3: 44th; Doubles F4: 57th
19th,Midland Dow,59.2,27.2,91.1,28.28,28.28,8,1.25,5.0,5.0,1.25,3.0,7.5,3.0,1.25,Singles F1: 43rd; Singles F2: 14th; Singles F3: 11th; Singles F4: 36th; Doubles F1: 20th; Doubles F2: 7th; Doubles F3: 17th; Doubles F4: 44th
20th,Ann Arbor Skyline,57.7,26.5,88.9,30.47,30.47,8,1.25,3.0,7.5,3.0,5.0,5.0,1.25,0.5,Singles F1: 36th; Singles F2: 23rd; Singles F3: 8th; Singles F4: 27th; Doubles F1: 16th; Doubles F2: 11th; Doubles F3: 34th; Doubles F4: 82nd
21st,East Grand Rapids,57.5,26.0,89.0,34.2,34.2,8,0.5,5.0,1.25,1.25,5.0,5.0,3.0,5.0,Singles F1: 68th; Singles F2: 11th; Singles F3: 37th; Singles F4: 57th; Doubles F1: 12th; Doubles F2: 10th; Doubles F3: 25th; Doubles F4: 15th
22nd,Detroit Catholic Central,57.4,24.2,90.6,33.6,33.6,8,1.25,3.0,3.0,3.0,3.0,3.0,5.0,3.0,Singles F1: 41st; Singles F2: 29th; Singles F3: 24th; Singles F4: 28th; Doubles F1: 17th; Doubles F2: 28th; Doubles F3: 9th; Doubles F4: 27th
23rd,Jackson Lumen Christi,55.8,23.8,87.8,27.34,27.34,8,1.25,3.0,3.0,0.5,3.0,3.0,5.0,5.0,Singles F1: 44th; Singles F2: 22nd; Singles F3: 30th; Singles F4: 91st; Doubles F1: 27th; Doubles F2: 20th; Doubles F3: 14th; Doubles F4: 11th
24th,Birmingham Groves,54.6,21.5,87.7,31.98,31.98,8,1.25,1.25,3.0,3.0,1.25,1.25,3.0,7.5,Singles F1: 62nd; Singles F2: 36th; Singles F3: 18th; Singles F4: 20th; Doubles F1: 36th; Doubles F2: 64th; Doubles F3: 20th; Doubles F4: 6th
25th,Muskegon Mona Shores,54.5,25.2,83.7,23.66,23.66,8,5.0,12.5,1.25,1.25,0.5,1.25,3.0,0.5,Singles F1: 15th; Singles F2: 1st; Singles F3: 60th; Singles F4: 60th; Doubles F1: 69th; Doubles F2: 37th; Doubles F3: 32nd; Doubles F4: 71st
26th,Rochester Adams,54.3,25.8,82.9,37.66,37.66,7,3.0,3.0,0.0,1.25,3.0,7.5,3.0,5.0,Singles F1: 27th; Singles F2: 18th; Singles F3: 207th; Singles F4: 38th; Doubles F1: 23rd; Doubles F2: 8th; Doubles F3: 24th; Doubles F4: 16th
27th,Ludington,54.3,25.8,82.9,25.51,25.51,8,0.5,7.5,3.0,11.25,1.25,1.25,0.5,0.5,Singles F1: 72nd; Singles F2: 5th; Singles F3: 29th; Singles F4: 2nd; Doubles F1: 57th; Doubles F2: 53rd; Doubles F3: 68th; Doubles F4: 74th
28th,Haslett,54.3,21.5,87.0,30.12,30.12,8,7.5,3.0,3.0,3.0,1.25,1.25,1.25,1.25,Singles F1: 7th; Singles F2: 25th; Singles F3: 17th; Singles F4: 18th; Doubles F1: 61st; Doubles F2: 35th; Doubles F3: 55th; Doubles F4: 58th
29th,Rockford,52.0,18.0,86.0,28.36,28.36,8,0.5,1.25,1.25,3.0,3.0,3.0,3.0,3.0,Singles F1: 74th; Singles F2: 33rd; Singles F3: 41st; Singles F4: 32nd; Doubles F1: 30th; Doubles F2: 27th; Doubles F3: 28th; Doubles F4: 32nd
30th,Ada Forest Hills Eastern,51.7,17.5,85.8,30.36,30.36,8,1.25,3.0,1.25,3.0,0.5,0.5,3.0,5.0,Singles F1: 39th; Singles F2: 20th; Singles F3: 38th; Singles F4: 24th; Doubles F1: 79th; Doubles F2: 67th; Doubles F3: 21st; Doubles F4: 13th
31st,Holland West Ottawa,51.5,18.2,84.7,26.02,26.02,8,0.5,1.25,1.25,1.25,5.0,3.0,3.0,3.0,Singles F1: 94th; Singles F2: 41st; Singles F3: 33rd; Singles F4: 64th; Doubles F1: 13th; Doubles F2: 21st; Doubles F3: 27th; Doubles F4: 30th
32nd,Berkley,51.1,16.5,85.7,30.41,30.41,8,3.0,3.0,5.0,1.25,1.25,1.25,0.5,1.25,Singles F1: 22nd; Singles F2: 28th; Singles F3: 15th; Singles F4: 49th; Doubles F1: 33rd; Doubles F2: 38th; Doubles F3: 75th; Doubles F4: 43rd
33rd,Brighton,50.3,15.2,85.3,30.49,30.49,8,1.25,1.25,3.0,3.0,1.25,1.25,3.0,1.25,Singles F1: 48th; Singles F2: 45th; Singles F3: 25th; Singles F4: 30th; Doubles F1: 49th; Doubles F2: 41st; Doubles F3: 18th; Doubles F4: 56th
34th,Troy Athens,50.1,24.8,75.5,33.76,33.76,7,1.25,1.25,0.0,0.5,5.0,12.5,1.25,3.0,Singles F1: 35th; Singles F2: 43rd; Singles F3: 231st; Singles F4: 102nd; Doubles F1: 10th; Doubles F2: 1st; Doubles F3: 64th; Doubles F4: 28th
35th,Grand Rapids Forest Hills Central,49.4,15.8,83.1,32.48,32.48,8,1.25,0.5,0.5,1.25,3.0,1.25,3.0,5.0,Singles F1: 61st; Singles F2: 88th; Singles F3: 65th; Singles F4: 50th; Doubles F1: 32nd; Doubles F2: 33rd; Doubles F3: 19th; Doubles F4: 9th
36th,Portage Central,48.5,13.5,83.5,28.08,28.08,8,3.0,1.25,3.0,1.25,1.25,1.25,1.25,1.25,Singles F1: 28th; Singles F2: 56th; Singles F3: 31st; Singles F4: 42nd; Doubles F1: 56th; Doubles F2: 58th; Doubles F3: 41st; Doubles F4: 36th
37th,Grosse Pointe Woods University Liggett,48.3,13.8,82.8,30.77,30.77,8,1.25,1.25,3.0,1.25,3.0,3.0,0.5,0.5,Singles F1: 45th; Singles F2: 37th; Singles F3: 28th; Singles F4: 40th; Doubles F1: 26th; Doubles F2: 25th; Doubles F3: 65th; Doubles F4: 97th
38th,St. Joseph,47.9,12.8,83.0,28.34,28.34,8,3.0,3.0,1.25,1.25,1.25,0.5,1.25,1.25,Singles F1: 19th; Singles F2: 32nd; Singles F3: 39th; Singles F4: 59th; Doubles F1: 40th; Doubles F2: 82nd; Doubles F3: 47th; Doubles F4: 40th
39th,Grand Rapids Christian,47.6,15.0,80.2,28.76,28.76,8,3.0,0.5,0.5,3.0,1.25,0.5,1.25,5.0,Singles F1: 30th; Singles F2: 121st; Singles F3: 74th; Singles F4: 23rd; Doubles F1: 39th; Doubles F2: 76th; Doubles F3: 40th; Doubles F4: 14th
40th,Maple City Glen Lake,47.1,12.8,81.4,31.17,31.17,8,3.0,1.25,1.25,3.0,1.25,1.25,1.25,0.5,Singles F1: 32nd; Singles F2: 60th; Singles F3: 47th; Singles F4: 22nd; Doubles F1: 62nd; Doubles F2: 45th; Doubles F3: 56th; Doubles F4: 67th
41st,Northville,47.0,15.5,78.5,32.37,32.37,8,0.5,3.0,1.25,3.0,0.5,1.25,3.0,3.0,Singles F1: 120th; Singles F2: 30th; Singles F3: 62nd; Singles F4: 31st; Doubles F1: 98th; Doubles F2: 55th; Doubles F3: 30th; Doubles F4: 25th
42nd,Rochester Hills Stoney Creek,46.2,11.5,80.9,27.59,27.59,8,0.5,1.25,1.25,1.25,5.0,1.25,0.5,0.5,Singles F1: 66th; Singles F2: 42nd; Singles F3: 40th; Singles F4: 33rd; Doubles F1: 15th; Doubles F2: 40th; Doubles F3: 78th; Doubles F4: 88th
43rd,Grand Rapids South Christian,45.0,10.2,79.7,24.81,24.81,8,1.25,1.25,3.0,1.25,1.25,0.5,0.5,1.25,Singles F1: 57th; Singles F2: 55th; Singles F3: 22nd; Singles F4: 61st; Doubles F1: 42nd; Doubles F2: 69th; Doubles F3: 83rd; Doubles F4: 37th
44th,South Lyon East,44.8,14.5,75.0,25.05,25.05,7,5.0,0.5,3.0,3.0,0.0,0.5,1.25,1.25,Singles F1: 14th; Singles F2: 103rd; Singles F3: 26th; Singles F4: 25th; Doubles F1: 147th; Doubles F2: 99th; Doubles F3: 61st; Doubles F4: 49th
45th,Zeeland East,44.6,14.5,74.6,27.25,27.25,7,0.5,0.0,0.5,5.0,1.25,1.25,3.0,3.0,Singles F1: 113th; Singles F2: 185th; Singles F3: 80th; Singles F4: 14th; Doubles F1: 46th; Doubles F2: 51st; Doubles F3: 22nd; Doubles F4: 21st
46th,Traverse City Central,44.5,9.5,79.4,28.45,28.45,8,0.5,3.0,0.5,1.25,0.5,1.25,1.25,1.25,Singles F1: 83rd; Singles F2: 31st; Singles F3: 72nd; Singles F4: 34th; Doubles F1: 73rd; Doubles F2: 44th; Doubles F3: 42nd; Doubles F4: 54th
47th,Grandville Calvin Christian,43.8,11.8,75.8,24.69,24.69,8,0.5,1.25,0.5,0.5,7.5,0.5,0.5,0.5,Singles F1: 79th; Singles F2: 47th; Singles F3: 69th; Singles F4: 69th; Doubles F1: 7th; Doubles F2: 95th; Doubles F3: 73rd; Doubles F4: 68th
48th,Grand Rapids NorthPointe Christian,43.4,13.8,73.1,29.58,29.58,7,0.5,0.0,0.5,0.5,3.0,1.25,5.0,3.0,Singles F1: 89th; Singles F2: 213th; Singles F3: 99th; Singles F4: 71st; Doubles F1: 22nd; Doubles F2: 34th; Doubles F3: 12th; Doubles F4: 23rd
49th,Dewitt,43.3,11.8,74.9,31.55,31.55,8,0.5,0.5,0.5,0.5,1.25,3.0,0.5,5.0,Singles F1: 75th; Singles F2: 68th; Singles F3: 115th; Singles F4: 87th; Doubles F1: 54th; Doubles F2: 32nd; Doubles F3: 86th; Doubles F4: 10th
50th,Rochester,43.0,11.5,74.6,29.5,29.5,7,1.25,1.25,3.0,1.25,3.0,1.25,0.5,0.0,Singles F1: 63rd; Singles F2: 51st; Singles F3: 32nd; Singles F4: 48th; Doubles F1: 25th; Doubles F2: 46th; Doubles F3: 74th; Doubles F4: 194th
51st,Big Rapids,42.9,11.0,74.8,25.14,25.14,8,0.5,5.0,3.0,0.5,0.5,0.5,0.5,0.5,Singles F1: 99th; Singles F2: 15th; Singles F3: 21st; Singles F4: 94th; Doubles F1: 71st; Doubles F2: 87th; Doubles F3: 70th; Doubles F4: 72nd
52nd,Utica Eisenhower,42.7,8.5,76.8,27.9,27.9,8,1.25,1.25,1.25,1.25,0.5,0.5,1.25,1.25,Singles F1: 64th; Singles F2: 59th; Singles F3: 44th; Singles F4: 51st; Doubles F1: 77th; Doubles F2: 96th; Doubles F3: 50th; Doubles F4: 45th
53rd,Mattawan,42.2,10.8,73.6,26.81,26.81,8,5.0,0.5,0.5,0.5,0.5,1.25,1.25,1.25,Singles F1: 13th; Singles F2: 92nd; Singles F3: 68th; Singles F4: 116th; Doubles F1: 99th; Doubles F2: 54th; Doubles F3: 57th; Doubles F4: 53rd
