rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
21st,Holt,37.0,11.5,62.5,28.04,29.73,6,1.0,0.0,1.0,0.0,1.0,2.5,5.0,1.0,Singles F1: 26th; Singles F2: 33rd; Singles F3: 26th; Singles F4: 39th; Doubles F1: 18th; Doubles F2: 16th; Doubles F3: 7th; Doubles F4: 20th
22nd,Grand Ledge,34.2,7.5,60.8,24.41,30.79,6,1.0,1.0,1.0,1.0,1.0,2.5,0.0,0.0,Singles F1: 22nd; Singles F2: 22nd; Singles F3: 22nd; Singles F4: 23rd; Doubles F1: 17th; Doubles F2: 12th; Doubles F3: 39th; Doubles F4: 36th
23rd,Romeo,33.7,7.5,60.0,26.53,25.11,6,1.0,1.0,1.0,0.0,1.0,2.5,1.0,0.0,Singles F1: 20th; Singles F2: 20th; Singles F3: 18th; Singles F4: 36th; Doubles F1: 21st; Doubles F2: 11th; Doubles F3: 31st; Doubles F4: 40th
24th,Utica Eisenhower,32.5,9.0,55.9,29.7,26.93,6,0.0,1.0,2.5,1.0,0.0,1.0,1.0,2.5,Singles F1: 45th; Singles F2: 26th; Singles F3: 15th; Singles F4: 28th; Doubles F1: 35th; Doubles F2: 28th; Doubles F3: 23rd; Doubles F4: 16th
25th,Hudsonville,31.3,9.0,53.6,30.36,27.65,6,2.5,1.0,1.0,1.0,0.0,0.0,1.0,2.5,Singles F1: 14th; Singles F2: 25th; Singles F3: 31st; Singles F4: 21st; Doubles F1: 55th; Doubles F2: 47th; Doubles F3: 21st; Doubles F4: 13th
26th,Grand Haven,30.3,8.5,52.1,28.79,28.38,4,2.5,2.5,1.0,2.5,0.0,0.0,0.0,0.0,Singles F1: 10th; Singles F2: 15th; Singles F3: 23rd; Singles F4: 11th; Doubles F1: 43rd; Doubles F2: 41st; Doubles F3: 41st; Doubles F4: 50th
27th,Grandville,29.5,6.5,52.5,29.48,27.67,5,0.0,1.0,2.5,1.0,0.0,1.0,0.0,1.0,Singles F1: 48th; Singles F2: 21st; Singles F3: 9th; Singles F4: 27th; Doubles F1: 38th; Doubles F2: 19th; Doubles F3: 40th; Doubles F4: 30th
28th,West Bloomfield,29.2,5.0,53.4,28.71,27.26,5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Singles F1: 36th; Singles F2: 18th; Singles F3: 37th; Singles F4: 26th; Doubles F1: 33rd; Doubles F2: 23rd; Doubles F3: 32nd; Doubles F4: 23rd
29th,Grand Blanc,29.0,5.5,52.5,26.5,27.82,4,1.0,1.0,0.0,1.0,2.5,0.0,0.0,0.0,Singles F1: 23rd; Singles F2: 30th; Singles F3: 35th; Singles F4: 31st; Doubles F1: 10th; Doubles F2: 33rd; Doubles F3: 33rd; Doubles F4: 37th
30th,Saline,27.4,5.0,49.8,31.21,31.11,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Singles F1: 31st; Singles F2: 37th; Singles F3: 19th; Singles F4: 17th; Doubles F1: 28th; Doubles F2: 50th; Doubles F3: 30th; Doubles F4: 33rd
31st,Plymouth,26.3,5.0,47.7,26.7,26.44,5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Singles F1: 42nd; Singles F2: 32nd; Singles F3: 40th; Singles F4: 24th; Doubles F1: 31st; Doubles F2: 20th; Doubles F3: 17th; Doubles F4: 49th
32nd,Livonia Stevenson,26.0,9.5,42.6,22.48,23.73,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.5,Singles F1: 34th; Singles F2: 53rd; Singles F3: 55th; Singles F4: 37th; Doubles F1: 32nd; Doubles F2: 38th; Doubles F3: 26th; Doubles F4: 4th
33rd,Lake Orion,25.7,5.0,46.4,26.61,29.23,5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,Singles F1: 28th; Singles F2: 40th; Singles F3: 27th; Singles F4: 32nd; Doubles F1: 29th; Doubles F2: 42nd; Doubles F3: 37th; Doubles F4: 26th
34th,East Kentwood,25.2,5.5,44.9,23.45,21.79,4,1.0,0.0,1.0,0.0,2.5,0.0,0.0,1.0,Singles F1: 21st; Singles F2: 44th; Singles F3: 20th; Singles F4: 45th; Doubles F1: 16th; Doubles F2: 53rd; Doubles F3: 38th; Doubles F4: 31st
35th,Canton,24.9,5.0,44.7,27.32,27.45,5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Singles F1: 39th; Singles F2: 31st; Singles F3: 28th; Singles F4: 25th; Doubles F1: 44th; Doubles F2: 49th; Doubles F3: 25th; Doubles F4: 28th
36th,New Baltimore Anchor Bay,23.5,4.5,42.6,25.04,25.28,3,1.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,Singles F1: 24th; Singles F2: 54th; Singles F3: 46th; Singles F4: 33rd; Doubles F1: 48th; Doubles F2: 46th; Doubles F3: 11th; Doubles F4: 17th
37th,Macomb L'Anse Creuse North,22.9,3.0,42.8,26.76,26.04,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Singles F1: 50th; Singles F2: 36th; Singles F3: 29th; Singles F4: 29th; Doubles F1: 40th; Doubles F2: 25th; Doubles F3: 35th; Doubles F4: 34th
38th,Clinton Township Chippewa Valley,22.8,4.0,41.5,24.04,23.17,4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Singles F1: 46th; Singles F2: 39th; Singles F3: 30th; Singles F4: 46th; Doubles F1: 42nd; Doubles F2: 32nd; Doubles F3: 24th; Doubles F4: 25th
39th,Utica Ford,22.4,4.0,40.9,27.45,26.8,4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Singles F1: 25th; Singles F2: 48th; Singles F3: 32nd; Singles F4: 47th; Doubles F1: 20th; Doubles F2: 29th; Doubles F3: 47th; Doubles F4: 39th
40th,Oxford,21.1,3.0,39.2,22.82,22.78,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Singles F1: 29th; Singles F2: 42nd; Singles F3: 42nd; Singles F4: 51st; Doubles F1: 34th; Doubles F2: 43rd; Doubles F3: 27th; Doubles F4: 27th
41st,Salem,19.7,12.5,26.9,32.53,33.2,1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 1st; Singles F2: 52nd; Singles F3: 53rd; Singles F4: 53rd; Doubles F1: 39th; Doubles F2: 35th
42nd,Kalamazoo Central,19.6,2.0,37.3,20.26,23.81,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Singles F1: 54th; Singles F2: 46th; Singles F3: 36th; Singles F4: 44th; Doubles F1: 36th; Doubles F2: 22nd; Doubles F3: 22nd; Doubles F4: 44th
43rd,Kalamazoo Loy Norrix,19.4,2.0,36.9,24.23,27.44,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Singles F1: 41st; Singles F2: 45th; Singles F3: 45th; Singles F4: 34th; Doubles F1: 37th; Doubles F2: 27th; Doubles F3: 45th; Doubles F4: 32nd
44th,Fraser,19.0,2.0,36.0,23.37,23.41,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Singles F1: 52nd; Singles F2: 41st; Singles F3: 39th; Singles F4: 49th; Doubles F1: 22nd; Doubles F2: 30th; Doubles F3: 36th; Doubles F4: 41st
45th,Utica,17.7,3.0,32.4,25.85,26.26,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Singles F1: 51st; Singles F2: 56th; Singles F3: 38th; Singles F4: 30th; Doubles F1: 49th; Doubles F2: 31st; Doubles F3: 48th; Doubles F4: 24th
46th,Walled Lake Northern,16.3,1.0,31.6,26.46,18.41,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 43rd; Singles F2: 19th; Singles F3: 44th; Singles F4: 48th; Doubles F1: 53rd; Doubles F2: 40th; Doubles F3: 42nd; Doubles F4: 42nd
47th,Dearborn,14.8,1.0,28.6,21.34,23.42,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 30th; Singles F2: 38th; Singles F3: 34th; Singles F4: 41st; Doubles F1: 46th; Doubles F2: 36th
48th,Dearborn Edsel Ford,14.8,0.0,29.7,25.51,24.36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 33rd; Singles F2: 43rd; Singles F3: 33rd; Singles F4: 40th; Doubles F1: 45th; Doubles F2: 54th; Doubles F3: 46th; Doubles F4: 46th
49th,Caledonia,14.7,2.0,27.3,27.87,23.86,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Singles F1: 49th; Singles F2: 55th; Singles F3: 49th; Singles F4: 55th; Doubles F1: 23rd; Doubles F2: 52nd; Doubles F3: 20th; Doubles F4: 48th
50th,Monroe,12.7,1.0,24.4,25.41,15.08,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 32nd; Singles F2: 47th; Singles F3: 41st; Singles F4: 43rd; Doubles F1: 47th; Doubles F2: 48th; Doubles F4: 47th
51st,Davison,10.7,0.0,21.4,21.77,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 57th; Singles F2: 51st; Singles F3: 50th; Singles F4: 38th; Doubles F1: 51st; Doubles F2: 44th; Doubles F3: 43rd; Doubles F4: 45th
52nd,Macomb Dakota,10.4,1.0,19.7,20.39,16.76,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 37th; Singles F2: 27th; Singles F3: 48th; Singles F4: 50th; Doubles F1: 54th; Doubles F2: 51st
53rd,Howell,9.5,0.0,19.1,22.89,21.15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 47th; Singles F2: 50th; Singles F3: 51st; Singles F4: 42nd; Doubles F1: 52nd; Doubles F2: 45th; Doubles F4: 43rd
54th,Farmington,8.9,1.0,16.7,24.09,25.46,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F2: 29th; Singles F3: 43rd; Singles F4: 52nd; Doubles F2: 37th
55th,Sterling Heights Stevenson,5.0,0.0,10.0,23.08,19.48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 53rd; Singles F2: 49th; Singles F3: 47th; Singles F4: 54th; Doubles F1: 50th
56th,Brownstown Woodhaven,5.0,0.0,10.0,23.04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 38th; Singles F2: 35th
57th,Belleville,2.0,0.0,4.0,17.39,12.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doubles F1: 41st
58th,Grand Rapids Union,0.5,0.0,1.1,23.77,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 55th
59th,Waterford United,0.4,0.0,0.8,26.07,32.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 56th
