rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
1st,Birmingham Seaholm,77.6,70.0,85.2,31.49,29.36,7,7.5,7.5,10.0,12.5,7.5,12.5,12.5,0.0,Singles F1: 3rd; Singles F2: 4th; Singles F3: 2nd; Singles F4: 1st; Doubles F1: 4th; Doubles F2: 1st; Doubles F3: 1st
2nd,Midland Dow,76.1,60.0,92.2,24.7,26.27,8,2.5,7.5,12.5,10.0,5.0,10.0,10.0,2.5,Singles F1: 11th; Singles F2: 3rd; Singles F3: 1st; Singles F4: 2nd; Doubles F1: 6th; Doubles F2: 2nd; Doubles F3: 2nd; Doubles F4: 11th
3rd,Byron Center,71.4,52.5,90.4,28.2,24.65,8,2.5,10.0,7.5,7.5,12.5,5.0,2.5,5.0,Singles F1: 13th; Singles F2: 2nd; Singles F3: 4th; Singles F4: 4th; Doubles F1: 1st; Doubles F2: 5th; Doubles F3: 9th; Doubles F4: 7th
4th,Birmingham Groves,61.7,40.0,83.3,26.99,25.98,7,0.0,5.0,7.5,5.0,7.5,5.0,5.0,5.0,Singles F1: 35th; Singles F2: 6th; Singles F3: 3rd; Singles F4: 5th; Doubles F1: 3rd; Doubles F2: 6th; Doubles F3: 8th; Doubles F4: 6th
5th,Berkley,60.6,35.0,86.2,26.36,21.52,8,5.0,5.0,5.0,2.5,5.0,2.5,2.5,7.5,Singles F1: 7th; Singles F2: 5th; Singles F3: 5th; Singles F4: 9th; Doubles F1: 8th; Doubles F2: 14th; Doubles F3: 10th; Doubles F4: 3rd
6th,Muskegon Mona Shores,60.3,36.0,84.6,21.83,22.34,8,5.0,12.5,2.5,7.5,2.5,2.5,1.0,2.5,Singles F1: 5th; Singles F2: 1st; Singles F3: 10th; Singles F4: 3rd; Doubles F1: 11th; Doubles F2: 9th; Doubles F3: 18th; Doubles F4: 10th
7th,Grosse Pointe South,54.6,34.5,74.7,29.35,26.09,7,7.5,0.0,1.0,1.0,10.0,7.5,5.0,2.5,Singles F1: 4th; Singles F2: 35th; Singles F3: 18th; Singles F4: 23rd; Doubles F1: 2nd; Doubles F2: 3rd; Doubles F3: 5th; Doubles F4: 15th
8th,South Lyon East,52.6,32.0,73.2,24.11,20.27,7,10.0,2.5,5.0,5.0,0.0,1.0,7.5,1.0,Singles F1: 2nd; Singles F2: 9th; Singles F3: 6th; Singles F4: 6th; Doubles F1: 36th; Doubles F2: 20th; Doubles F3: 4th; Doubles F4: 28th
9th,Portage Central,52.5,26.0,78.9,24.6,22.89,8,5.0,2.5,2.5,5.0,5.0,2.5,1.0,2.5,Singles F1: 8th; Singles F2: 14th; Singles F3: 15th; Singles F4: 8th; Doubles F1: 7th; Doubles F2: 11th; Doubles F3: 17th; Doubles F4: 9th
10th,Traverse City Central,51.0,26.0,76.0,28.52,31.55,8,2.5,5.0,2.5,2.5,2.5,1.0,2.5,7.5,Singles F1: 16th; Singles F2: 8th; Singles F3: 9th; Singles F4: 10th; Doubles F1: 10th; Doubles F2: 28th; Doubles F3: 15th; Doubles F4: 4th
11th,Traverse City West,49.8,28.0,71.6,25.13,23.37,8,1.0,1.0,2.5,1.0,2.5,5.0,2.5,12.5,Singles F1: 28th; Singles F2: 18th; Singles F3: 13th; Singles F4: 22nd; Doubles F1: 14th; Doubles F2: 8th; Doubles F3: 13th; Doubles F4: 1st
12th,Grand Rapids Forest Hills Central,49.8,24.5,75.0,31.5,31.98,8,1.0,2.5,2.5,1.0,2.5,5.0,5.0,5.0,Singles F1: 26th; Singles F2: 16th; Singles F3: 14th; Singles F4: 20th; Doubles F1: 9th; Doubles F2: 7th; Doubles F3: 7th; Doubles F4: 5th
13th,Mason,49.4,24.5,74.2,23.76,20.31,8,2.5,1.0,5.0,2.5,1.0,2.5,7.5,2.5,Singles F1: 15th; Singles F2: 28th; Singles F3: 7th; Singles F4: 13th; Doubles F1: 19th; Doubles F2: 10th; Doubles F3: 3rd; Doubles F4: 12th
14th,Grand Rapids Forest Hills Northern,46.4,23.5,69.3,32.85,33.32,7,2.5,0.0,5.0,1.0,5.0,2.5,2.5,5.0,Singles F1: 10th; Singles F3: 8th; Singles F4: 21st; Doubles F1: 5th; Doubles F2: 13th; Doubles F3: 12th; Doubles F4: 8th
15th,Port Huron Northern,44.6,22.5,66.7,25.64,0.0,8,1.0,5.0,2.5,1.0,1.0,1.0,1.0,10.0,Singles F1: 24th; Singles F2: 7th; Singles F3: 16th; Singles F4: 17th; Doubles F1: 25th; Doubles F2: 24th; Doubles F3: 21st; Doubles F4: 2nd
16th,Richland Gull Lake,41.6,14.0,69.3,29.48,26.8,8,1.0,2.5,1.0,2.5,1.0,2.5,2.5,1.0,Singles F1: 25th; Singles F2: 13th; Singles F3: 17th; Singles F4: 12th; Doubles F1: 18th; Doubles F2: 12th; Doubles F3: 11th; Doubles F4: 18th
17th,Mattawan,39.1,24.0,54.2,28.91,29.85,6,12.5,0.0,1.0,1.0,1.0,7.5,0.0,1.0,Singles F1: 1st; Singles F2: 42nd; Singles F3: 22nd; Singles F4: 28th; Doubles F1: 27th; Doubles F2: 4th; Doubles F3: 33rd; Doubles F4: 27th
18th,Midland,36.5,11.0,62.0,22.29,19.87,8,1.0,1.0,1.0,1.0,2.5,1.0,1.0,2.5,Singles F1: 19th; Singles F2: 19th; Singles F3: 28th; Singles F4: 18th; Doubles F1: 15th; Doubles F2: 22nd; Doubles F3: 19th; Doubles F4: 14th
19th,Battle Creek Lakeview,36.2,11.5,60.9,25.93,28.16,7,1.0,1.0,2.5,2.5,1.0,0.0,2.5,1.0,Singles F1: 17th; Singles F2: 24th; Singles F3: 12th; Singles F4: 11th; Doubles F1: 21st; Doubles F2: 34th; Doubles F3: 16th; Doubles F4: 23rd
